Insult,Date,Comment,Usage,
1,20120529083535Z,"""I don't think anyone deserves a second chance when it comes to squandering taxpayers money.\xa0 That's tantamount to treason in my mind because you're betraying the countr you are supposed to have deicated your life to\n\nOnce someone has acted in a corrupt manner, I believe it is all to easy to repeat that behaviour.\nMy opinion though, we'll see if Cele's licked Zuma's a$$ enough over the years""",PublicTest,
1,20120320183610Z,"""you're a moron""",PrivateTest,
0,,"""Whoa, retro recap. Very nice.""",PrivateTest,
0,20120620172545Z,"""Right? That's always bugged the shit out of me in that dumbass series. That and the fact that they assume that if a human sees a sparkly fuck out in the woods they'll immediately assume they're a vampire. It's just too damn ridiculous.""",PublicTest,
0,20120620080125Z,"""real talk u already snow these niggas be cryin we on real nigga time and we fucks wit all da battles not just big names.....snow dat boyz in da buildin""",PrivateTest,
0,20120619213733Z,"""To ti je Crveni \u0161korpion, ovaj je pripadao Hugu Prattu, a se inspirisao gledaju\u0107i uvodne scene Peckinpahovog filma ""Divlja horda"". U\u010deni ljudi ka\u017eu \u0161korpija najbplje simbolizuje ljudsku prirodu. Mo\u017eda si \u010duo onu pri\u010du kad \u017eaba nosi \u0161korpiju (koja ne mo\u017ee da pliva) preko reke. Na pola puta \u0161korpija ubode \u017eabu, koja je zaprepa\u0161\u0107eno upita: ""Ali za\u0161to to radi\u0161, sad \u0107emo se obe utopit?"" \u0160korpija joj ladno odgovori:""Znam, ali niko ne mo\u017ee protiv svoje prirode:"" \u0160korpija je kick ass hardcore motherfucker(ka)!""",PrivateTest,
1,,"""Good riddance you special pile of human excrement.""",PublicTest,
0,20120529032548Z,"""Fanclub? I would never join...... *joins fanclub* I couldn't help myself. XD""",PublicTest,
1,20120320213820Z,"""NO....YoU An iDiot...""",PrivateTest,
0,,"""Sitting in my office... laughing all by myself.  Good stuff! :-)\\n\\n \\n\\n--Tony Gnau""",PublicTest,
0,,"""Did you force yourself to be straight? If you did, you probably are gay.""",PrivateTest,
0,20120529020758Z,"""Fuckkk you dodgers!!! score some frickin runs for fucksake""",PublicTest,
0,20120611190633Z,"""Barbareschi \xe8 stato rapito da un iPhone?!?!?""",PublicTest,
1,20120620051005Z,"""to dummy scummy adam caith\n\nstop twisting history, you despicable fool. you are soon choking with your own lies.""",PrivateTest,
0,20120619060109Z,"""@Jsfordays510\xa0Can you please explain how Nike is killing the ""game"". I'm not challenging you, I just want to hear the theory. I Think Nike ID Is the only thing close to a game killer and that is because it eliminates the re-sellers for the most part. So It kills the commercial \xa0re-seller game a little. I think its genius. Now people can get a shoe close to their own wants instead of buying a stale remake over and over( I bought plenty of remakes).""",PrivateTest,
0,20120527180812Z,"""Floridachick - Your grandmom was smart and probably knew what she wanted.  But I'm afraid I also have a real-life example of someone who 'should' have invested the money and left it sitting there until she had adjusted a little and thought more carefully about how to manage it.  My MIL spent more money and did more foolish and costly things in the first six months she was a widow, than most people do in a lifetime.  She (and others) 'wish' she had taken the standard advice to let things settle out for a year before making any major changes. She'd very much like to have some of that back right now.\n\nI'm not speaking of this specific case here  - but there's a good reason that's standard advice.""",PrivateTest,
0,20120612123052Z,"""He was not in 'revenge' mode at the time . He caught the perv IN THE ACT and was SAVING his kid \xa0. Revenge is done AFTER the act . You are trolling . Please go away as your comments are irrelevant .""",PrivateTest,
0,,"""I hate the soaps, what a pointless waste of life watching em!""",PrivateTest,
0,20120528180203Z,"""Walker is trying by his own admission to end collective bargaining!! Are you people asleep!""",PrivateTest,
0,20120528190432Z,"""It's a 1-2-3 inning for Doug Fister...ya just don't hear that often enough .......""",PrivateTest,
0,20120612000009Z,"""nfl,\n\nLet's be fair. The Obama campaign has spent mucho time playing gotcha on Romney.\n\nBoth sides are equally guilty.""",PrivateTest,
0,20120620115054Z,"""fuck itachi, would did you have to be that good of man.. easily fav character no doubt.""",PublicTest,
1,20120529151417Z,"""you are a simpleton. lawlz&nbsp;""",PublicTest,
0,20120529133845Z,"""The Lion faithful were so sure he was going be a big contributor this year, and that he would not be suspended.  Welp, this latest boneheaded move pretty much put the kibosh on any plans they may have had for him the first half of the season, i'd say.""",PrivateTest,
0,20120610044409Z,"""The small city I live in borrowed 30 million (with the interest) to build a new Rec Plex. Too bad the roads in town all need major work. They found money for a rink, and we have ONE pothole repair truck, and all they do is dump some fill and step on it. Then when it rains, the fill is smush. What a waste of time and energy..... The rink is really NICE, though...""",PrivateTest,
0,20120611231006Z,"""right.....if republicans were in power NOBODY will be poor.\n\n\nLMAO""",PublicTest,
0,20120611215744Z,"""Punk should learn how to kick properly too...""",PrivateTest,
1,20120619230004Z,"""What is your porblem with the Cuban Community? If you have not realized that we are the majority and that we are the one that rum this County is because you are realley an ignorant. We are better that you and your people because we have displace them. If you berlieve that we are going to take this insults from you without puting you in your place, you are dead wrong. Why don't you go a fly a kite or do something more compatible with your level of stupidity. You are only a litlle dog barking against a very large Community that control most of this county. We do not need jerks like you here. If you hate us so mucho why do not move out of the area or better why don't you drop dead Animal.""",PrivateTest,
0,20120611212938Z,"""BIG BANG~! <3\n\n\nsorry Katy... i love your music but--- LOL fuck it i dont even like your music and never did :D""",PublicTest,
0,,"""@naptown_ninja @MrNFL Except that good ST has virtually no long term correlation with winning.  Of the top 10 teams in ST this year, only 5 made the play offs.   Of the teams in the conference championships their ST ranks were 2, 5, 16 and 30th.\\n\\n \\n\\nThe team with the best special teams in the play-offs lost due to special teams play.\\n\\n \\n\\nThe Polians may have neglected ST, but that wasn't a failure, it was an explicit decision that makes the most sense given limited resources available to spend.  I for one believe it was the right one.""",PublicTest,
0,20120530005718Z,"""don't steal Haudricourt's words like that..""",PrivateTest,
0,20120530024801Z,"""You hear more comments about the Heat on this forum, than you do OKC...LMAO, shows who people really fear!""",PrivateTest,
1,20120620150718Z,"""May I assume, ""trutxn"", that you are a revenge-hungry simpleton, and that my comment caused you some discomfort?""",PrivateTest,
0,20120619154939Z,"""Now the excuse is that we are playing a soft schedule.""",PrivateTest,
0,20120612013626Z,"""hope u and yours are safe tonite Bill""",PrivateTest,
0,20120611231549Z,"""Beta does mean something: It means ""don't be calling us if you need any support, because it's a beta product.""""",PrivateTest,
0,,"""@Eustace Tilley 2.0 I demand that Obama inject himself with pork-fat on national television to prove his faith!""",PrivateTest,
0,20120515131939Z,"""STOP CALLING THEM RICH!!!!!!!! \n\nAlso, Drew Franklin sounds like a little bitch.""",PublicTest,
0,20120611194029Z,"""Greg House's cane: deadlier than a Kitana.""",PrivateTest,
1,,"""Nobody was talking to you so fall way the fuck bakk little girl ..""",PrivateTest,
0,20120529211539Z,"""You must be on an Eastern Conference team...""",PrivateTest,
0,,"""Every single thing associated with any Olympics should be manufactured/courced in the host country. Even if it costs more to make it would be good way of injecting money into the economy.""",PrivateTest,
0,20120529172154Z,"""Here's something else: When I am getting cards/shit for sick friends, I try not to make them YOU ARE SICK cards or gifts. I get them some cool shit they would like, whether or not they are in the hospital or doing their normal shit. I never get get well cards. I always get funny cards.""",PrivateTest,
0,20120609222329Z,"""""Them""?\nYou mean the extremist group that enslaved the rest of the population, and that mostly originally came from PAKISTAN rather than Afghanistan itself?\nAre you really so short-sighted, evil and stupid that you would want an evil, \xa0authoritarian group like the Taliban rule simply because you don't like America?""",PrivateTest,
1,,"""Look.dumbfuck. I am just pointing out the asshoIe's hypocrisy in calling out other people's errors.  If you want to defend him and suck.his.cock then go get a private room together and have some decency. """,PublicTest,
0,20120503001007Z,"""For everyone's sake lets hope you are wrong.""",PrivateTest,
0,20120619095155Z,"""I really like your blog. \xa0I too have a similar blog about Madrid-check it out! www.lifeandstylemadrid.com""",PrivateTest,
0,,"""Nobody's forcing you to work for Catholics, are they?\\xc2\\xa0 Be responsible for yourself and don't get a job there.\\xc2\\xa0 If you decide to work there, go to the dang health department and get\\xc2\\xa0cheap birth control.\\xc2\\xa0 I'm a woman, you're a woman, suck it up and put your big girl panties on!\\xc2\\xa0 Take care of yourself!\\xc2\\xa0 Nobody is required to provide anything for you....they're called BENEFITS not requirements!""",PublicTest,
0,,"""@sullivanst @fargo116 They also tried to sue other organizations that had ""...For The Cure"" in their name.""",PrivateTest,
0,20120612141524Z,"""FoxTVLies,\n\nyou are correct. = President Obama wasn't in Florida"". \n\nthat's why he should have kept his BIG MOUTH tightly closed about this sad case & let our judicial system work.\n\nyours, satx""",PrivateTest,
1,20120528043702Z,"""you people are disgusting""",PublicTest,
0,20120529012805Z,"""So, being ranked 221st in the nation is average?""",PublicTest,
0,20120527185609Z,"""Not that it says that in the post or anything..""",PrivateTest,
0,,"""The problem is too many rednecks are having children, to beat or to rape or whatever, and that needs to stop!""",PrivateTest,
0,,"""as a bolton fan who doesnt slag his manager off i watched the game last nite between two teams, one that was improving every game n one that was havin a bad run dont slag ur manager off its not just down to him , look at ur players, as is the norm little old bolton gets no praise, they had  the same amount of attempts if not more to score but  like arsenal didnt, get over urselves u will come good at some point , its called keeping the faith in ur team just as i do, COYWM.""",PrivateTest,
0,20120515142522Z,"""Oh, dont be so hard on yourself, freddie...youre a smart person...and gosh darn it, people like you.""",PrivateTest,
0,20120610052756Z,"""I think it's setting the stage for Asami to feel all conflicted about her decision to join the good guys, because she loves her dad, and one of the good guys is being a dick to her. But yeah...boring.""",PublicTest,
1,,"""You should be fucking killed!\\xc2\\xa0 Your ignorance disgusts me!!!""",PrivateTest,
0,20120618221804Z,"""Yes, because you and your ilk make it like this.""",PrivateTest,
0,20120620133050Z,"""Ah for fucksake, i cannot stand her voice""",PublicTest,
0,,"""He makes me laugh :)""",PublicTest,
0,,"""@LovinBlue It is a good analysis, and the one I hope turns out! At the very least, I hope the relationship between Manning and the Colts leaves coaching open at some time, should Peyton go that way in the future. That's my main concern right now.""",PrivateTest,
0,20120528190808Z,"""<span style=""color: rgb(51, 51, 51); font-family: Verdana, Helvetica, Arial, sans-serif; font-size: 12px; line-height: 15px; text-align: left; background-color: rgb(236, 239, 245); ""><b>Isn't a good coach able to motivate players? Get the best out of them? Have them prepared? How does the head coach of a school as big as ND mess up the QB spot that bad? He ran 2-3 QBs at Cinn in a year and they didn't need to get pulled</b></span><div style=""font-family: Arial, Verdana; font-size: 10pt; line-height: normal; ""><span style=""color: rgb(51, 51, 51); font-family: Verdana, Helvetica, Arial, sans-serif; font-size: 12px; line-height: 15px; text-align: left; background-color: rgb(236, 239, 245); ""><b><br></b></span></div><div style=""text-align: left; ""><font color=""#333333"" face=""Verdana, Helvetica, Arial, sans-serif""><span style=""font-size: 12px; line-height: 15px;"">Well you just answered your own question. BK has proven he knows what he's doing at the QB position. He did it at Cincy and you said it yourself. Crist is just one of those players you cant save. Dont know what else to tell you but show you your own words.&nbsp;</span></font></div><div style=""text-align: left; ""><font color=""#333333"" face=""Verdana, Helvetica, Arial, sans-serif""><span style=""font-size: 12px; line-height: 15px;""><br></span></font></div><div style=""text-align: left; ""><font color=""#333333"" face=""Verdana, Helvetica, Arial, sans-serif""><span style=""font-size: 12px; line-height: 15px;"">GO ND!!!!</span></font></div>""",PrivateTest,
0,20120528064154Z,"""I don't know what you're talking about, had a pretty big hell on earth feel to me.""",PrivateTest,
0,20120527192404Z,"""NAY are you a fan of NASCAR as well?""",PublicTest,
0,20120618194531Z,"""See the hashtag logo? I'm good at original creations.""",PrivateTest,
1,20120529201712Z,"""Take your meds and go back in your cave.""",PrivateTest,
0,20120502191838Z,"""genomin\nso many tough guys here! there is a reason he is a boxer and you are just a keyboard warrior.\n=================================\n\nIs there a reason why he's ducking Pacquiao?""",PrivateTest,
0,20120609200046Z,"""I am so fucked.""",PublicTest,
1,20120529223300Z,"""LOL!!! Fuck da vidz.... u sissies trip me da fuk out wit you all ''rebuttles'' -smgdh""",PrivateTest,
0,20120620015559Z,"""LET HIM FUCKING SHOOT THE BALL!!!! WHY ARE WE CLOSING ON JAMES?""",PrivateTest,
1,20120612141719Z,"""If that is your talking point you have just displayed your ignorance.""",PublicTest,
0,20120619185555Z,"""Alan West as VP won't help Republicans with the race card. The reason is that to the left, West is just a WHITE black man. Just like Zimmerman is a WHITE hispanic. You can't be an oppressed person unless you are a liberal, then all the entitlements flow.""",PrivateTest,
0,20120610051159Z,"""Fuck naman yon :O I don't really like lowriders, geez kung meron lang stock nung G.I. baka yun na talaga binili ko. Maya-maya ako kinakabahan baka mabali wtf >:(\n\nAnd yes haha it's okay, I know how it feels =)))""",PrivateTest,
0,20120609185830Z,"""What have I said that would make you think I'm an 'Obama lover'? \xa0Go back over it. \xa0I've not said anything in his favor politically. \xa0I've only said it's un-American to call for harm to come to the President.""",PublicTest,
1,20120530144943Z,"""57 states\nCorpesman\nPolish Death Camps\n\nI'm telling you this guy is a blithering idiot, if he weren't such a narcissistic creep, he would know things.""",PrivateTest,
1,20120528234623Z,"""Jimmy you're full of crap. You did set up Jessica why don't you just admit it. You should get fired too just like JLo and Steven Tyler. I hope you get what is coming to you- you dirty old fart.""",PrivateTest,
0,20120527181045Z,"""BIG so what, she's a normal kid from a beautiful (not politically) family.""",PrivateTest,
1,20120609235604Z,"""ALL you see is blk and white. You are pathetic! You also lie. You DID NOT have slave family members! I call you on that lie now.""",PrivateTest,
0,,"""The great little one king obama took a chance on this. He is betting that this will blow over and be forgotten by the  November election. Hope not but only time will tell.   ALLONS""",PrivateTest,
0,20120514050426Z,"""i wanna try it, i like quinoa for the texture and the fat that it is tasteless unless you add to it, so it could be wicked good right?""",PublicTest,
0,,"""Hey Sword of Islam, anyway you guys can strap a bomb to him and send him home to poppa.\\xc2\\xa0 I know how much you guys love to blow yourselves up along with innocents.""",PrivateTest,
0,,"""Get the government out of our lives yells the republicans.\\xc2\\xa0 But it's ok if you pass a law that bans gay marriage even though it doesn't effect me.""",PrivateTest,
0,20120619015547Z,"""One of the few thruths in the book \n\n\xa0\n\nThe last years of my high school was a daze...Attending\nschool sparingly, \xa0I drank\xa0 beer heavily used drugs enthusiastically.. it\ndid not matter if it was in shiny new car of some white classmate or a room\nwith some of the brothers or on the beach with one of the native Hawaiians ...\n\n\n\xa0\n\n\nBarack Obama ...""dreams of my father""\n\n\n\xa0\n\n\nVery Presidential don't you think""",PrivateTest,
0,,"""@tonnyb @Kaneblues Fortunately, Newt reminds them every day of who they are deep down.""",PrivateTest,
0,20120612133055Z,"""With all due respect, you are an idiot. Conservative, Liberal, either one would raise unholy Hell if their daughter was being assaulted.""",PrivateTest,
1,20120619125142Z,"""Hey, Bertone, you're the certified liar here. Your saying others ""continue to invent fairy tales and repeat legends"" would be funny-hilarious if your fairy tales weren't so deadly to the poor kids under your wicked influence. You and your church are a damned disgrace. SHAME ON YOU.""",PrivateTest,
0,,"""iammoe do you want to start a conversation on the liberal vs conservative brain? I have an interesting read for you coming from the journal of psychology.\\n\\n""Liberal Brains Bigger in Areas of Problem Solving and Complexity; Conservative Brains Bigger in Areas of Fear""\\n\\nWASHINGTON (AFP) April 2011 \\xe2\\x80\\x94 Everyone knows that liberals and conservatives bang heads when it comes to world views, but scientists have now shown that their brains are actually built differently.\\n\\n\\nLiberals have more gray matter in a part of the brain associated with understanding complexity, while the conservative brain is bigger in the section related to processing fear, said the study on Thursday in Current Biology.\\n\\n""We found that greater liberalism was associated with increased gray matter volume in the anterior cingulate cortex, whereas greater conservatism was associated with increased volume of the right amygdala,"" the study said.\\n\\nOther research has shown greater brain activity in those areas, according to which political views a person holds, but this is the first study to show a physical difference in size in the same regions.""\\n\\nhttp://www.google.com/hostednews/afp/article/ALeqM5iISI7ifh-AjUE3ejyC1wQmwFrMFw?docId=CNG.61c886c438708471a9f4ea23070fa70c.3a1\\n\\xc2\\xa0""",PrivateTest,
1,20120609154411Z,"""fuck you matt hatfill fat bitch nigga""",PrivateTest,
0,20120529015012Z,"""I don't believe in myths and conspiracy theories.\n\nI believe in what I see.  As far as Barack Obama is concerned, I and MILLIONS of others like what we see.\n\nObama/Biden 2012 !!!!!!!""",PrivateTest,
1,20120610110626Z,"""Aas opposed to an EUloon mentalcase like you, sob?""",PrivateTest,
0,20120528220422Z,"""Heroes = People that end wars\n\nVillains = People who start wars (Republicans) and carry out wars (US Soldiers)""",PublicTest,
1,,"""The reason you don't have a job is because you suck at English. \\n\\nRead your 2nd sentence...derrrr!""",PrivateTest,
0,,"""she is not even doing it right  """,PrivateTest,
0,20120516000938Z,"""Oh girl, you got dem shoes..""",PublicTest,
0,20120530004029Z,"""It's Yorvit, he won't hit 6 HR's in a week""",PrivateTest,
0,20120620082559Z,"""Did you just place your comment under mine on a whim or do you see a connection?""",PrivateTest,
0,20120620002141Z,"""dmallett, you are making an assumption that the people heckling them were liberals, but you have nothing to back that up other then your biased belief.""",PrivateTest,
0,20120528184938Z,"""Imitation is the sincerest form of flattery.""",PrivateTest,
0,20120620163952Z,"""Iwe you are being abusive...We have never abused people from other provinces saka you should shut your cakehole if you dont have anything meaningful to contribute...Kuipa seduzvi rebhinya...""",PrivateTest,
1,20120611175119Z,"""You are an idiot.""",PublicTest,
1,20120529210002Z,"""How the heck did you survive from your mother's abortion?""",PrivateTest,
1,20120529210149Z,"""....and you're a faggot who sits at home, watches his clip and feels the need to feel important...CONGRATS""",PublicTest,
0,20120502104821Z,"""I can't wait until all of you realise that you just wasted your money on CoD:Black ops 2""",PublicTest,
0,,"""I never believed gay marriage would happen either.\\xc2\\xa0 """,PrivateTest,
1,20120320180420Z,"""have another bottle of Ripple and go back to your drunken slumber.""",PrivateTest,
0,20120527213606Z,"""Quintin Barry Positive pick for today !!!""",PrivateTest,
0,20120610071025Z,"""Addie, your comment has left me with the strong impression that you are a miserable sod who is quite prepared to greedily guzzle the last pint without any thought of sharing.""",PrivateTest,
0,,"""After finish collecting sample. she sit in facing the mill and lay on a tree, thinking about what has happened in the tavern. 'whats madness could deceive a man with survival knowledge, could it be something relate about this quest. maybe or maybe not...' then she came back to concentrate on the surounding""",PrivateTest,
1,20120609230436Z,"""Complete suicide dumbass.\xa0 You are wasting oxygen and space that a rat needs.""",PrivateTest,
0,20120529201619Z,"""Wow you have a PS3?!\n\nThen why are you even posting comments to this article? It doesn't involve you at all.\n\nHave a nice day!""",PrivateTest,
0,20120620063837Z,"""So do they, mom.  Btw, the PM left his eight-year-old daughter in a bar.  He forgot her, that is to say.""",PrivateTest,
0,20120528222817Z,"""How could they ""sneak peek"" upcoming Marvel Studios films, when they are still figuring out the cast for the very next one?\xa0 The only thing I'm getting at, is I hope they dedicate enough time (and resources) to each project.""",PrivateTest,
0,20120619031915Z,"""The chinese don't give Africans consultancy, they just do the work and then take your minerals. White men share technology. Chinese do it all by themselves.""",PrivateTest,
0,20120528221414Z,"""Joyce does not have all star numbers, come on homer.""",PrivateTest,
0,20120619194307Z,"""@MiracleMan\xa0\n\xa0\nLoins Fever does that""",PrivateTest,
0,20120619183457Z,"""@Rourke needs to give me a fucking like\xa0nope not a fan of cajun food.""",PrivateTest,
0,,"""@JonKlimasIsNOT_A_BRONY Get her number. """,PrivateTest,
0,20120618210111Z,"""Comrade Gigglemass makes the same claim.\n\nBut as Comrade Kirsty McColl (RIP) sang ... he's a liar, and I'm not sure about you.""",PrivateTest,
0,20120515203517Z,"""More like faggot.""",PrivateTest,
0,20120618203140Z,"""<i> This bonnet is slightly red, mostly blue.</i>""",PrivateTest,
0,20120527190600Z,"""I am taking off for a while. Find you later on bud.""",PublicTest,
0,20120529061625Z,"""true emma, but Elvis sure did sell better than Chuck.\xa0\nWhere as we could debate the genius of Prince and MJ all day too. I prefer Prince hands down, but alot of people think MJ is better... the entertainer, the real musician?""",PublicTest,
1,20120515060726Z,"""You are a complete idiot! How dare you make such a disrespectful comment toward someone who has died. What is so funny about it? Do you really get off by making these childish and hateful remarks?""",PrivateTest,
0,20120515200119Z,"""Because you're absolutely terrified of the Bears now? Scared that Packers won't own the division? Mad that the Bears are the better team because they're more balanced, have a better D and ST?""",PrivateTest,
0,20120612124105Z,"""I expect Tate's business will be ignored by many players in his circles. He will see how quickly business disappears when customers are made aware of employee firings of innocent people.""",PrivateTest,
1,20120619164026Z,"""You are an excellent example of how repulsive libbies are. Selfish losers to the core.""",PrivateTest,
0,,"""only need 1 in the prawn cocktail""",PrivateTest,
1,20120514051158Z,"""You are an idiot""",PrivateTest,
1,20120529211711Z,"""you are hallucinating again, please go back into your box.""",PrivateTest,
0,20120609214822Z,"""This kind of shit just sets us further away from eachother""",PublicTest,
1,20120529095052Z,"""You are a true schmuck. What jews are living illegally in Africa?""",PublicTest,
0,20120529200312Z,"""Just did, and NO site provides that link. So I ask that you help us out to debunk that study.""",PrivateTest,
0,20120619123226Z,"""I'll forward your comments.""",PrivateTest,
0,20120612073249Z,"""Big Bang Theory and How I Shagged Your Mother are both terrible TV shows.\n\nWatching either of these things makes me feel I need to loose a hundred IQ points to get the lame jokes. Fuck American comedies suck.""",PrivateTest,
0,,"""@jumist People do tend to forget to look up these days.\\n\\n \\n\\nMyself im into astrophtography, its amazing what you can actually see if you have a good pair of eyes and are willing to wait 20 minutes for your eyes to adjust to the darkness. I recommend everyone give it a go, remember to avoid any white light (red, green or blue you can get away with), have a seat out there, relax with a warm drink and look up. Even in a big town, with a little time and careful viewing you can see the milky way""",PrivateTest,
1,20120620155155Z,"""You're not very bright are you?""",PublicTest,
1,20120529103229Z,"""you seem to be the one with the ""rage"" there grandad.Jesus why dont you chill out for once,maybe you really are too old to be on here.\n\n""RJ SADLER has A 2ND account as DOC MADDEN""\nHe's also nearly 50yrs old ..so be careful kids!!""",PrivateTest,
0,20120530000413Z,"""My My...aren't you so grown up.""",PublicTest,
0,20120619191311Z,"""You go, Tone!&nbsp; I'd love to see somebody smack that smug look off that little fuck's face.&nbsp; Well, I don't care to *see* that smug-looking little fuck, actually, but you know what I mean...""",PrivateTest,
1,20120619201905Z,"""Perhaps you should go back and re-read your posts from June 8th.  Or would you like me to ""copy and paste"" them here to show just how much of a LIAR you really are?""",PrivateTest,
1,20120612044931Z,"""you sir are an idiot""",PrivateTest,
1,20120620004033Z,"""hehe you're a dumb@ss.""",PrivateTest,
0,,"""Straight couples have a right to marry, similarly situated gay couples do not. It is about equality bro, and we are winning. 18 down. =)""",PrivateTest,
0,,"""Guy at a party\\\\\\'s been looking at your wife.  You (and several other guests) hear him say, of politicians in Washington, ""Those bastards should all be taken out and shot.""  Next day, you drop a dime to Homeland Security -- and the guy never sees your wife again.  Or his.  \\\\n\\\\n \\\\n\\\\nWouldn\\\\\\'t be the first time in history...""",PrivateTest,
0,20120515124522Z,"""Disqus are a bunch of marxist anti-American haters who censor all they don't agree with. Your no better than nazi propagandists.""",PrivateTest,
0,,"""Considering previous owners of Pompey have included an arms dealer ( or his son, yeah right ), a man awaiting extradition charged with stealing millions of Latvians & Lithuanians pension funds, a person who didn't exist, a man currently sat in Court on tax evasion charges next to illiterate Arry at Southwark Crown Courts and a chubby arab doctor with dodgy business dealing and not a pot to pee in, I'd say Joseph Cala is quite a catch for them.\\n\\n \\n\\nJust wind them up and stop them shafting more of our tax money.""",PrivateTest,
1,20120619124952Z,"""Why would Diplo sign such a terrible rapper??? This Orion chick is really bad too. Next time you walk down your street, stop the nearest person and ask them to spit 5 bars. 9 times out of 10, you will have found someone better than Riff Raff. Guaranteed. \nZebra stripped glove??? What is he? Some sad cross between a Micheal Jackson and a LMFAO wanna be? I hope some one shoots him before he starts polluting the world with kids as retarded as he. Oh, I'm Sorry! That's an insult to retarded people.""",PrivateTest,
1,20120610210815Z,"""You are\xa0 an asshole if your in tampa with your\xa0 ron paul crap I hope that nobody hurts your feeling.""",PrivateTest,
0,20120612075839Z,"""Sitting on the crapper, in FIRST PERSON!!!!!""",PrivateTest,
0,20120618230323Z,"""...........BAM....you be FERTILIZER...""",PrivateTest,
0,,"""""I\\xe2\\x80\\x99ve also rarely had much doubt about policies I espouse personally and recommend publicly,""Really, Barash? You think we don\\'t know that? It\\'s the pacifist watching the rape of his wife; suddenly he\\'s found something he cares about more than his own self-righteous reputation. Maybe force is called for?""And at the same time, I\\xe2\\x80\\x99m both surprised and sad\\xe2\\x80\\x94very, very sad\\xe2\\x80\\x94to find myself lining up with a bunch of murderers and assassins.""What makes you think these men and women would consent to ""line up"" with the likes of you? They have standards. Besides, they\\'d worry you would chain your sorry ass to a gate or something.""",PrivateTest,
0,20120530064023Z,"""If you learned the teleportation thingy, please teach me how as I would really love to go to SF, but I'm really really really far, like halfway-across-the-world far.""",PublicTest,
1,20120612013800Z,"""@uglifish you idiot d point is nobody has the right to inflict abuse on your daughter even f you left here or not. Your giving opinion like a bastard rapist""",PublicTest,
0,20120620175948Z,"""Why won't our Loser President just fire this Piece of Trash, Holder?""",PrivateTest,
0,20120528065444Z,"""This, an atypical left wing statement of meaninglessness.\xa0 I won't in any way attempt to duplicate this format of sludgery, which in it's own humor-founded way doesn't irritate my staunch Constitutionalist mindset a smidgen.\xa0 Because it's lame...OOPS.""",PublicTest,
0,,"""As a preface, I'm sure we can 'cut' some money out of the defense budget....however, why is it that the marxist party ALWAYS goes after the defense budget first, weakening it to where the repubs have to come in and fix the problems of readiness, they ALWAYS, with the exception of JFK raise taxes, weakening the economy and never can find anything else to economize in the budget. Serial stupidity and dishonesty, thy banner is the ass, er....donkey""",PrivateTest,
0,20120612013514Z,"""Our deepest sympathy to you and your family Katrina. May you find the strength you need in your children, xx""",PublicTest,
0,20120611190626Z,"""what the fuck\nare you fu king kidding us,\nwe all around the jave one request : xperia play 2 , but sony never care, never hear us,\nwhat that announcement can be? another fucken phone like xperia s !\n\nwe neeeeeeed xperia play 2 , CAN YOU HEAR US SONY ?""",PrivateTest,
0,20120609202311Z,"""first interesting thing you've said in a while; go for it.""",PrivateTest,
1,20120611200542Z,"""Oh,  please quit.  You're scaring me!  C'mon sissy boy,  you know your boyfriend won't let you come out in the desert to play.  You wouldn't know what to do in the desert anyway.  If you haven't got your bf's schlong to suck on,  you wouldn't know what to do.  You just keep on sukin' and sit'n behind the keyboard talkin' shit.  That's all you liberal fags are good for!  heh, heh!""",PublicTest,
0,20120610061746Z,"""AmericanSyrians \u200f@AmericanSyrians\nSyria Crisis: Women And Children \u2018Among Fatalities In Deadly Deraa Shelling\u2019 http://dlvr.it/1hlG2l #syria""",PrivateTest,
1,20120612012100Z,"""This skinny little faggot as Commander-In-Chief....you have got to be kidding.......he would not last 5 minutes at Parris Island.""",PublicTest,
0,,"""\\xc2\\xa0Ignorant-ass.""",PrivateTest,
1,20120612013758Z,"""YABBA DABBA DOOOO HAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA YOU'RE RETARDED""",PrivateTest,
0,20120619010512Z,"""Heather Has Two Mommies. \xa0How sad is that? \xa0Poor Heather will grow up a Misandrist with Mommy Issues.""",PublicTest,
0,20120610154354Z,"""....or the return of the Inquisition or is it Christian Taliban?\n\nYour choice!""",PrivateTest,
0,20120610094816Z,"""""Sasuke thoughts""- You burnt my fucking snake, now you die.""",PrivateTest,
0,20120609184956Z,"""Arrest all of these scumbags for fraud.""",PublicTest,
0,20120619201228Z,"""They also said they hope to re-establish the caliphate-with its new headquarters in Jerusalem.Doesn't sound like there is much basis for a dialogue.""",PrivateTest,
0,20120529011255Z,"""Just like Lebron fans to call the series after one quarter. Remember children, he will fail you in the fourth quarter and in deciding games. HE HAS NOT HEART!!""",PublicTest,
0,,"""They shouldn't throw eggs at Bentleys.Aim them at the culprit & don't waste them make every shot count.""",PublicTest,
1,20120611202848Z,"""Id be more embarrassed if I was a zombie voting pole climber that was unable to think for myself with the personality of a cabbage. A bit like you really.""",PrivateTest,
0,20120527171523Z,"""But atleast plays are being made, like a great shot. Or in baseball you can watch a great at-bat or a long hr during the game. This is just cars running. No offense ofcourse, just my opinion.""",PublicTest,
1,20120611200727Z,"""you're all fucking morons, happy? now shut the hell up jesus its like watching the special olympics.""",PrivateTest,
0,,"""I bet you couldn't build that suspension bridge for less than a million today...........""",PrivateTest,
